EndWeek,StartWeek,Doses,Cases,Deaths,Admissions
2020-03-29,2020-03-22,7,109014,2976,NA
2020-04-05,2020-03-30,63,207447,9202,NA
2020-04-12,2020-04-06,422,220081,14901,NA
2020-04-19,2020-04-13,1405,198244,15254,NA
2020-04-26,2020-04-20,4133,207398,14958,NA
2020-05-03,2020-04-27,4994,190511,13173,NA
2020-05-10,2020-05-04,4964,171429,12068,NA
2020-05-17,2020-05-11,4416,156714,9855,NA
2020-05-24,2020-05-18,3942,156695,8315,NA
2020-05-31,2020-05-25,3729,146287,6538,NA
2020-06-07,2020-06-01,3285,144908,5772,NA
2020-06-14,2020-06-08,3200,149286,5027,NA
2020-06-21,2020-06-15,4242,188059,4142,NA
2020-06-28,2020-06-22,5649,273490,3881,NA
2020-07-05,2020-06-29,6638,343971,3659,NA
2020-07-12,2020-07-06,7316,412880,5397,NA
2020-07-19,2020-07-13,11231,466142,5561,21481
2020-07-26,2020-07-20,12919,458720,6513,33430
2020-08-02,2020-07-27,11724,432976,7856,38260
2020-08-09,2020-08-03,10511,377311,7421,33160
2020-08-16,2020-08-10,10495,354444,7126,31542
2020-08-23,2020-08-17,9218,298989,6711,30231
2020-08-30,2020-08-24,8968,291489,6309,29785
2020-09-06,2020-08-31,8424,287211,5855,27016
2020-09-13,2020-09-07,7894,244208,5125,28356
2020-09-20,2020-09-14,9647,287932,5348,23928
2020-09-27,2020-09-21,11670,308532,5439,24871
2020-10-04,2020-09-28,11101,300980,4939,27575
2020-10-11,2020-10-05,14796,351559,5173,33657
2020-10-18,2020-10-12,16401,393976,5222,37037
2020-10-25,2020-10-19,17827,496128,5813,40946
2020-11-01,2020-10-26,18628,608554,6012,46486
2020-11-08,2020-11-02,19205,816909,7303,56896
2020-11-15,2020-11-09,26176,1056904,8157,71028
2020-11-22,2020-11-16,28076,1215935,11119,81845
2020-11-29,2020-11-23,28688,1149529,10816,86872
2020-12-06,2020-11-30,27350,1404294,16037,94603
2020-12-13,2020-12-07,25706,1518655,17907,101653
2020-12-20,2020-12-14,29842,1521865,19247,104999
2020-12-27,2020-12-21,24350,1300367,16368,106345
2021-01-03,2020-12-28,25475,1506803,18906,112345
2021-01-10,2021-01-04,30576,1722175,23108,116391
2021-01-17,2021-01-11,28946,1530089,23766,108755
2021-01-24,2021-01-18,25395,1189490,21906,93990
2021-01-31,2021-01-25,20226,1042851,22208,80607
2021-02-07,2021-02-01,18913,824077,20737,69087
2021-02-14,2021-02-08,12303,638553,17417,55620
2021-02-21,2021-02-15,8369,464787,13228,46438
2021-02-28,2021-02-22,8429,473248,13780,41730
2021-03-07,2021-03-01,6006,416727,11881,35545
2021-03-14,2021-03-08,3905,375719,9564,33655
