Shift,Type,Value
0,Adjusted R Squared,0.7132314972602503
1,Adjusted R Squared,0.8680892187813578
2,Adjusted R Squared,0.9536816036793823
3,Adjusted R Squared,0.9600059445481745
4,Adjusted R Squared,0.8845115169824651
5,Adjusted R Squared,0.7462983423337848
6,Adjusted R Squared,0.6035950455657539
7,Adjusted R Squared,0.4904774110688177
8,Adjusted R Squared,0.3916284376532799
9,Adjusted R Squared,0.2688402458581075
10,Adjusted R Squared,0.1476834243524292
0,Pearson Correlation,0.8499894670658118
1,Pearson Correlation,0.9340697216064652
2,Pearson Correlation,0.9773836451258039
3,Pearson Correlation,0.9805275639529232
4,Pearson Correlation,0.9427559961121099
5,Pearson Correlation,0.8695148638165251
6,Pearson Correlation,0.7870522496906568
7,Pearson Correlation,0.7153373462506696
8,Pearson Correlation,0.6465905776815927
9,Pearson Correlation,0.5496133005461973
10,Pearson Correlation,0.43390082732658436
0,Pearson P Value,7.492690586263479e-10
1,Pearson P Value,1.6794615084704923e-14
2,Pearson P Value,1.9540404853978356e-20
3,Pearson P Value,1.270267331112067e-20
4,Pearson P Value,6.51456453883963e-14
5,Pearson P Value,3.9393216394352224e-9
6,Pearson P Value,1.8470383501784631e-6
7,Pearson P Value,5.83902861530056e-5
8,Pearson P Value,6.400076276849975e-4
9,Pearson P Value,0.00659439837589272
10,Pearson P Value,0.04363580332822267
