xdate,ci_low,ci_high,estimate,group
2020-08-03,4388.443247361182,5927.100905995142,5157.772076678162,50% plasma usage
2020-08-10,8562.822899535007,11565.08413233509,10063.953515935049,50% plasma usage
2020-08-17,12587.469671893945,17000.83576136733,14794.152716630637,50% plasma usage
2020-08-24,16541.506157965527,22341.22002018736,19441.363089076443,50% plasma usage
2020-08-31,20148.770783515214,27213.24871581107,23681.009749663142,50% plasma usage
2020-09-07,23558.15915223591,31818.022607164203,27688.090879700056,50% plasma usage
2020-09-14,26739.11068567518,36114.26609330511,31426.688389490144,50% plasma usage
2020-09-21,30067.422816583712,40609.5371346715,35338.479975627604,50% plasma usage
2020-09-28,33746.55364260373,45578.62945808036,39662.59155034205,50% plasma usage
2020-10-05,38239.65640521297,51647.08516182087,44943.37078351692,50% plasma usage
2020-10-12,43192.56330481201,58336.5596103227,50764.56145756735,50% plasma usage
2020-10-19,48717.88797980775,65799.15056595986,57258.51927288381,50% plasma usage
2020-10-26,55006.80847805331,74293.06612594724,64649.937302000275,50% plasma usage
2020-11-02,62661.605423296176,84631.75603304351,73646.68072816984,50% plasma usage
2020-11-09,72324.19050905776,97682.19638008694,85003.19344457235,50% plasma usage
2020-11-16,83492.89579224905,112766.82650321805,98129.86114773355,50% plasma usage
2020-11-23,95345.51612108131,128775.16311134923,112060.33961621526,50% plasma usage
2020-11-30,108297.20090603849,146267.91356887043,127282.55723745446,50% plasma usage
2020-12-07,122206.8691205662,165054.53160842092,143630.70036449356,50% plasma usage
2020-12-14,136525.12808262234,184392.99877836934,160459.06343049585,50% plasma usage
2020-12-21,151026.8900614134,203979.30802703128,177503.09904422236,50% plasma usage
2020-12-28,166372.0681870835,224704.74847245726,195538.40832977038,50% plasma usage
2021-01-04,182319.2478444604,246243.26171451458,214281.2547794875,50% plasma usage
2021-01-11,197171.6889723426,266303.20377215534,231737.446372249,50% plasma usage
2021-01-18,210063.36896855757,283714.91081230255,246889.13989043006,50% plasma usage
2021-01-25,221164.11533984778,298707.754553431,259935.9349466394,50% plasma usage
2021-02-01,230653.1051763179,311523.73440928076,271088.41979279934,50% plasma usage
2021-02-08,238233.38454670418,321761.7797003823,279997.58212354325,50% plasma usage
2021-02-15,244605.6140190872,330368.213679375,287486.9138492311,50% plasma usage
2021-02-22,250276.0665552269,338026.8166212191,294151.44158822304,50% plasma usage
2020-08-03,6789.909628625224,9080.862948480943,7935.386288553084,No plasma usage
2020-08-10,13248.614685566681,17718.771058403956,15483.69287198532,No plasma usage
2020-08-17,19475.64926961591,26046.84178777113,22761.245528693522,No plasma usage
2020-08-24,25593.433845013256,34228.80094718373,29911.117396098496,No plasma usage
2020-08-31,31174.68428701154,41693.196368775956,36433.94032789375,No plasma usage
2020-09-07,36449.775613854945,48748.13288484332,42598.95424934914,No plasma usage
2020-09-14,41371.4237308898,55330.37248388374,48350.898107386776,No plasma usage
2020-09-21,46521.071865980746,62217.540576742394,54369.30622136158,No plasma usage
2020-09-28,52213.51549860298,69830.64639067969,61022.08094464134,No plasma usage
2020-10-05,59165.35695823396,79128.077871702,69146.71741496798,No plasma usage
2020-10-12,66828.61892875022,89376.96710568934,78102.79301721978,No plasma usage
2020-10-19,75377.54006031393,100810.34183365623,88093.9409469851,No plasma usage
2020-10-26,85107.91583089562,113823.8005750449,99465.85820297027,No plasma usage
2020-11-02,96951.60995065639,129663.62304512001,113307.6164978882,No plasma usage
2020-11-09,111901.80431643152,149658.09624346858,130779.95027995006,No plasma usage
2020-11-16,129182.30568493344,172769.13500410903,150975.72034452125,No plasma usage
2020-11-23,147520.97759178095,197295.37693539643,172408.1772635887,No plasma usage
2020-11-30,167560.14963329688,224095.8772164115,195828.0134248542,No plasma usage
2020-12-07,189081.53770128547,252878.70146528847,220980.11958328699,No plasma usage
2020-12-14,211235.10763752053,282507.0092652069,246871.05845136373,No plasma usage
2020-12-21,233672.59805078566,312515.03389218124,273093.8159714835,No plasma usage
2020-12-28,257415.04311284915,344268.3121333955,300841.67762312235,No plasma usage
2021-01-04,282088.9200668577,377267.29257378774,329678.1063203227,No plasma usage
2021-01-11,305068.99006854615,408000.9661637973,356534.9781161717,No plasma usage
2021-01-18,325015.32119361876,434677.3004861553,379846.31083988707,No plasma usage
2021-01-25,342190.67482652096,457647.71407966554,399919.1944530933,No plasma usage
2021-02-01,356872.2782619346,477282.97227203887,417077.6252669867,No plasma usage
2021-02-08,368600.67691801925,492968.59794694453,430784.6374324819,No plasma usage
2021-02-15,378459.9504260815,506154.4452402361,442307.19783315883,No plasma usage
2021-02-22,387233.4170299732,517888.128333327,452560.7726816501,No plasma usage
2020-08-03,5318.83732146334,6166.762655197346,5742.799988330343,Maintenance of plasma usage
2020-08-10,10378.227414132329,12032.717185455977,11205.472299794154,Maintenance of plasma usage
2020-08-17,15256.13975158858,17688.262903420447,16472.201327504514,Maintenance of plasma usage
2020-08-24,20048.471712402104,23244.58508082495,21646.52839661353,Maintenance of plasma usage
2020-08-31,24420.512693063112,28313.613783345027,26367.06323820407,Maintenance of plasma usage
2020-09-07,28552.725661709523,33104.58125955278,30828.653460631154,Maintenance of plasma usage
2020-09-14,32408.070890110594,37574.54293359321,34991.306911851905,Maintenance of plasma usage
2020-09-21,36442.01864367909,42251.57982271532,39346.799233197205,Maintenance of plasma usage
2020-09-28,40901.16218159505,47421.596911378445,44161.37954648674,Maintenance of plasma usage
2020-10-05,46346.84788741025,53735.430031832664,50041.13895962146,Maintenance of plasma usage
2020-10-12,52349.820828478,60695.39272964872,56522.60677906336,Maintenance of plasma usage
2020-10-19,59046.56986636088,68459.73282544302,63753.15134590195,Maintenance of plasma usage
2020-10-26,66668.80471647499,77297.09903575142,71982.9518761132,Maintenance of plasma usage
2020-11-02,75946.49554797051,88053.83286463881,82000.16420630466,Maintenance of plasma usage
2020-11-09,87657.64578487226,101631.96649901396,94644.8061419431,Maintenance of plasma usage
2020-11-16,101194.22883818693,117326.5421754123,109260.38550679962,Maintenance of plasma usage
2020-11-23,115559.72380044627,133982.17431877585,124770.94905961106,Maintenance of plasma usage
2020-11-30,131257.29592957936,152182.2424412902,141719.76918543476,Maintenance of plasma usage
2020-12-07,148115.95360347984,171728.4955557891,159922.22457963447,Maintenance of plasma usage
2020-12-14,165469.82736989003,191848.9117666508,178659.3695682704,Maintenance of plasma usage
2020-12-21,183046.10863686382,212227.1915265962,197636.65008173,Maintenance of plasma usage
2020-12-28,201644.61875053452,233790.6631425583,217717.64094654642,Maintenance of plasma usage
2021-01-04,220972.76077099718,256200.08407467793,238586.42242283755,Maintenance of plasma usage
2021-01-11,238974.06869113928,277071.1479402107,258022.60831567497,Maintenance of plasma usage
2021-01-18,254598.91441324394,295186.8956626444,274892.9050379442,Maintenance of plasma usage
2021-01-25,268053.13058231946,310785.97358360264,289419.5520829611,Maintenance of plasma usage
2021-02-01,279553.8816323763,324120.16633960506,301837.0239859907,Maintenance of plasma usage
2021-02-08,288741.2564142133,334772.18599722954,311756.72120572143,Maintenance of plasma usage
2021-02-15,296464.46257827146,343726.6202978824,320095.54143807694,Maintenance of plasma usage
2021-02-22,303337.1080424556,351694.89810549957,327516.0030739776,Maintenance of plasma usage
2020-08-03,NA,NA,6854,Observed deaths
2020-08-10,NA,NA,13249,Observed deaths
2020-08-17,NA,NA,19143,Observed deaths
2020-08-24,NA,NA,24297,Observed deaths
2020-08-31,NA,NA,29613,Observed deaths
2020-09-07,NA,NA,34914,Observed deaths
2020-09-14,NA,NA,39768,Observed deaths
2020-09-21,NA,NA,44673,Observed deaths
2020-09-28,NA,NA,49568,Observed deaths
2020-10-05,NA,NA,55160,Observed deaths
2020-10-12,NA,NA,60935,Observed deaths
2020-10-19,NA,NA,67586,Observed deaths
2020-10-26,NA,NA,76068,Observed deaths
2020-11-02,NA,NA,86515,Observed deaths
2020-11-09,NA,NA,96673,Observed deaths
2020-11-16,NA,NA,111850,Observed deaths
2020-11-23,NA,NA,128881,Observed deaths
2020-11-30,NA,NA,147515,Observed deaths
2020-12-07,NA,NA,163041,Observed deaths
2020-12-14,NA,NA,181466,Observed deaths
2020-12-21,NA,NA,204071,Observed deaths
2020-12-28,NA,NA,227405,Observed deaths
2021-01-04,NA,NA,249116,Observed deaths
2021-01-11,NA,NA,271094,Observed deaths
2021-01-18,NA,NA,291445,Observed deaths
