x,y,label,fill,color
1,1,"-88
(-166 to -11)",-158409,black
2,1,"-35
(-65 to -4)",-62383,white
3,1,"-19
(-35 to -2)",-33365,white
4,1,,NA,NA
1,2,"-70
(-131 to -8)",-125045,black
2,2,"-16
(-30 to -2)",-29018,white
3,2,,NA,NA
4,2,"-33,365
(-62,665 to -4,064)",-33365,white
1,3,"-54
(-101 to -7)",-96027,white
2,3,,NA,NA
3,3,"-29,018
(-54,501 to -3,535)",-29018,white
4,3,"-62,383
(-117,166 to -7,599)",-62383,white
1,4,,NA,NA
2,4,"-96,027
(-180,356 to -11,697)",-96027,white
3,4,"-125,045
(-234,858 to -15,232)",-125045,black
4,4,"-158,409
(-297,523 to -19,296)",-158409,black
