WeekEndDate,Admissions,ObservedDeaths,Maintenance,MainHi,MainLo,X50.,X50.Hi,X50.Lo,None,NoneHi,NoneLo
2020-07-19,21481,7856,3886.3992697692365,4181.002945889312,3591.7955936491603,3632.092304336201,4072.71788083281,3191.4667278395923,5348.063731009856,6070.185914299504,4625.941547720209
2020-07-26,54911,15277,9934.643187109472,10687.726491398353,9181.559882820588,9284.568712974495,10410.921817159835,8158.215608789156,13671.036149782703,15516.967494069178,11825.104805496225
2020-08-02,93171,22403,16856.74346462779,18134.54799457442,15578.938934681155,15753.72059435353,17664.875828642696,13842.565360064367,23196.519988916687,26328.62957130483,20064.410406528543
2020-08-09,126331,29114,22856.138268666142,24588.7194803381,21123.557056994185,21360.54433681377,23951.888766979642,18769.1999066479,31452.27127238984,35699.113483514295,27205.429061265386
2020-08-16,157873,35423,28562.800238176933,30727.96788214624,26397.63259420762,26693.790250103302,29932.134909953827,23455.44559025278,39305.19367840041,44612.376558270356,33998.01079853045
2020-08-23,188104,41278,34032.27262421081,36612.0468383019,31452.498410119715,31805.367106506063,35663.82031824286,27946.91389476927,46831.7201274558,53155.1720694285,40508.26818548309
2020-08-30,217889,46403,39421.05351197566,42409.31757724856,36432.78944670275,36841.532521740635,41310.945781703835,32372.11926177743,54247.207219682816,61571.93513713535,46922.479302230284
2020-09-06,244905,51751,44308.85960443345,47667.63774791779,40950.0814609491,41409.50448272694,46433.07912133324,36385.929844120634,60973.30422433634,69206.22323641916,52740.38521225352
2020-09-13,273261,57190,49439.10203698205,53186.77184473066,45691.432229233425,46204.04893511543,51809.271488024504,40598.82638220636,68033.01723381055,77219.17383396474,58846.86063365635
2020-09-20,297189,62129,53768.219011379806,57844.05216171961,49692.38586104,50249.88966218385,56345.93148767851,44153.847836689194,73990.30362436983,83980.84268352289,63999.76456521676
2020-09-27,322060,67302,58267.94603705043,62684.87541330068,53851.016660800175,54455.176552977835,61061.38078772007,47848.97231823561,80182.36605414248,91008.98820163391,69355.74390665103
2020-10-04,349635,72524,63256.88788630729,68051.99781136864,58461.77796124594,59117.666441347596,66289.49845281782,51945.834429877374,87047.63570558313,98801.24073116275,75294.03068000352
2020-10-11,383292,78337,69346.20124334948,74602.90401451544,64089.498472183506,64808.524906365215,72670.74074671428,56946.309066016154,95427.12367144127,108312.16886847377,82542.07847440876
2020-10-18,420329,84349,76047.03312987446,81811.68415077086,70282.38210897807,71070.88711835255,79692.81849693097,62448.95573977413,104648.12066438443,118778.23077005707,90518.01055871179
